Inference - Gaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_REDS4
quick_test: Gaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> 000-00000002 PSNR=26.971, SSIM=0.8036 pre_time:0.0365s, forward_time:0.625s, post_time:1.08s, total_time:1.74s
> 000-00000003 PSNR=27.131, SSIM=0.8049 pre_time:0.0321s, forward_time:0.468s, post_time:1.04s, total_time:1.54s
> 000-00000004 PSNR=27.257, SSIM=0.8064 pre_time:0.0271s, forward_time:0.478s, post_time:0.946s, total_time:1.45s
> 000-00000005 PSNR=27.316, SSIM=0.8066 pre_time:0.0272s, forward_time:0.461s, post_time:0.88s, total_time:1.37s
> 000-00000006 PSNR=27.402, SSIM=0.8116 pre_time:0.0269s, forward_time:0.466s, post_time:0.879s, total_time:1.37s
> 000-00000007 PSNR=27.412, SSIM=0.8105 pre_time:0.0263s, forward_time:0.461s, post_time:0.876s, total_time:1.36s
> 000-00000008 PSNR=27.498, SSIM=0.8115 pre_time:0.0264s, forward_time:0.465s, post_time:0.879s, total_time:1.37s
> 000-00000009 PSNR=27.542, SSIM=0.8118 pre_time:0.0263s, forward_time:0.465s, post_time:0.877s, total_time:1.37s
> 000-00000010 PSNR=27.658, SSIM=0.8137 pre_time:0.0263s, forward_time:0.465s, post_time:0.865s, total_time:1.36s
> 000-00000011 PSNR=27.67, SSIM=0.8145 pre_time:0.0267s, forward_time:0.464s, post_time:0.864s, total_time:1.36s
> 000-00000012 PSNR=27.65, SSIM=0.8158 pre_time:0.0264s, forward_time:0.467s, post_time:0.869s, total_time:1.36s
> 000-00000013 PSNR=27.595, SSIM=0.8136 pre_time:0.0267s, forward_time:0.458s, post_time:0.864s, total_time:1.35s
> 000-00000014 PSNR=27.425, SSIM=0.8108 pre_time:0.0263s, forward_time:0.456s, post_time:0.864s, total_time:1.35s
> 000-00000015 PSNR=27.259, SSIM=0.8061 pre_time:0.0266s, forward_time:0.457s, post_time:0.862s, total_time:1.35s
> 000-00000016 PSNR=27.245, SSIM=0.8055 pre_time:0.0268s, forward_time:0.467s, post_time:0.873s, total_time:1.37s
