Inference - Gaussian_SPMCS
save_image: False
border: False
input_path: ../dataset/SPMCS_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/SPMCS_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_SPMCS
quick_test: Gaussian_SPMCS
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> AMVTG_004-0003 PSNR=23.916, SSIM=0.6426 pre_time:0.0305s, forward_time:0.472s, post_time:0.731s, total_time:1.23s
> AMVTG_004-0004 PSNR=23.927, SSIM=0.6431 pre_time:0.0215s, forward_time:0.374s, post_time:0.708s, total_time:1.1s
> AMVTG_004-0005 PSNR=23.866, SSIM=0.6408 pre_time:0.0202s, forward_time:0.354s, post_time:0.667s, total_time:1.04s
> AMVTG_004-0006 PSNR=23.921, SSIM=0.6428 pre_time:0.0211s, forward_time:0.247s, post_time:0.666s, total_time:0.934s
> AMVTG_004-0007 PSNR=23.924, SSIM=0.6436 pre_time:0.0205s, forward_time:0.311s, post_time:0.682s, total_time:1.01s
> AMVTG_004-0008 PSNR=23.854, SSIM=0.6413 pre_time:0.0189s, forward_time:0.405s, post_time:0.655s, total_time:1.08s
> AMVTG_004-0009 PSNR=23.916, SSIM=0.6438 pre_time:0.0237s, forward_time:0.249s, post_time:0.651s, total_time:0.924s
> AMVTG_004-0010 PSNR=23.92, SSIM=0.6444 pre_time:0.0195s, forward_time:0.237s, post_time:0.667s, total_time:0.923s
> AMVTG_004-0011 PSNR=23.839, SSIM=0.6415 pre_time:0.0192s, forward_time:0.388s, post_time:0.65s, total_time:1.06s
> AMVTG_004-0012 PSNR=23.897, SSIM=0.6436 pre_time:0.0198s, forward_time:0.356s, post_time:0.657s, total_time:1.03s
> AMVTG_004-0013 PSNR=23.904, SSIM=0.6444 pre_time:0.0196s, forward_time:0.243s, post_time:0.632s, total_time:0.895s
> AMVTG_004-0014 PSNR=23.849, SSIM=0.6425 pre_time:0.019s, forward_time:0.271s, post_time:0.644s, total_time:0.934s
> AMVTG_004-0015 PSNR=23.913, SSIM=0.6449 pre_time:0.0191s, forward_time:0.373s, post_time:0.657s, total_time:1.05s
> AMVTG_004-0016 PSNR=23.923, SSIM=0.6451 pre_time:0.0187s, forward_time:0.351s, post_time:0.637s, total_time:1.01s
> AMVTG_004-0017 PSNR=23.863, SSIM=0.6429 pre_time:0.0198s, forward_time:0.234s, post_time:0.638s, total_time:0.892s
> AMVTG_004-0018 PSNR=23.909, SSIM=0.6447 pre_time:0.0192s, forward_time:0.273s, post_time:0.677s, total_time:0.969s
> AMVTG_004-0019 PSNR=23.914, SSIM=0.645 pre_time:0.0197s, forward_time:0.448s, post_time:0.654s, total_time:1.12s
> AMVTG_004-0020 PSNR=23.849, SSIM=0.6429 pre_time:0.0231s, forward_time:0.242s, post_time:0.671s, total_time:0.937s
> AMVTG_004-0021 PSNR=23.909, SSIM=0.6454 pre_time:0.0201s, forward_time:0.271s, post_time:0.673s, total_time:0.964s
> AMVTG_004-0022 PSNR=23.906, SSIM=0.6453 pre_time:0.0222s, forward_time:0.388s, post_time:0.681s, total_time:1.09s
> AMVTG_004-0023 PSNR=23.842, SSIM=0.643 pre_time:0.0192s, forward_time:0.331s, post_time:0.657s, total_time:1.01s
> AMVTG_004-0024 PSNR=23.893, SSIM=0.6447 pre_time:0.0258s, forward_time:0.234s, post_time:0.668s, total_time:0.928s
> AMVTG_004-0025 PSNR=23.907, SSIM=0.6462 pre_time:0.0195s, forward_time:0.338s, post_time:0.661s, total_time:1.02s
> AMVTG_004-0026 PSNR=23.855, SSIM=0.6448 pre_time:0.0188s, forward_time:0.337s, post_time:0.671s, total_time:1.03s
> AMVTG_004-0027 PSNR=23.92, SSIM=0.6475 pre_time:0.0205s, forward_time:0.268s, post_time:0.671s, total_time:0.96s
> AMVTG_004-0028 PSNR=23.907, SSIM=0.6466 pre_time:0.0189s, forward_time:0.385s, post_time:0.656s, total_time:1.06s
> AMVTG_004-0029 PSNR=23.837, SSIM=0.6439 pre_time:0.0207s, forward_time:0.242s, post_time:0.675s, total_time:0.937s
> HKVTG_004-0003 PSNR=27.031, SSIM=0.7188 pre_time:0.0184s, forward_time:0.306s, post_time:0.666s, total_time:0.991s
> HKVTG_004-0004 PSNR=27.013, SSIM=0.7185 pre_time:0.018s, forward_time:0.358s, post_time:0.675s, total_time:1.05s
> HKVTG_004-0005 PSNR=26.842, SSIM=0.7122 pre_time:0.0185s, forward_time:0.262s, post_time:0.674s, total_time:0.954s
> HKVTG_004-0006 PSNR=26.904, SSIM=0.7146 pre_time:0.0186s, forward_time:0.39s, post_time:0.661s, total_time:1.07s
> HKVTG_004-0007 PSNR=26.819, SSIM=0.7114 pre_time:0.0199s, forward_time:0.241s, post_time:0.684s, total_time:0.945s
> HKVTG_004-0008 PSNR=26.861, SSIM=0.7135 pre_time:0.0187s, forward_time:0.377s, post_time:0.659s, total_time:1.05s
> HKVTG_004-0009 PSNR=26.797, SSIM=0.711 pre_time:0.0183s, forward_time:0.317s, post_time:0.675s, total_time:1.01s
> HKVTG_004-0010 PSNR=26.923, SSIM=0.7162 pre_time:0.0185s, forward_time:0.257s, post_time:0.677s, total_time:0.953s
> HKVTG_004-0011 PSNR=26.948, SSIM=0.7176 pre_time:0.0183s, forward_time:0.39s, post_time:0.662s, total_time:1.07s
> HKVTG_004-0012 PSNR=26.792, SSIM=0.7121 pre_time:0.0201s, forward_time:0.24s, post_time:0.671s, total_time:0.931s
> HKVTG_004-0013 PSNR=26.864, SSIM=0.7148 pre_time:0.0189s, forward_time:0.357s, post_time:0.661s, total_time:1.04s
> HKVTG_004-0014 PSNR=26.861, SSIM=0.7144 pre_time:0.018s, forward_time:0.333s, post_time:0.669s, total_time:1.02s
> HKVTG_004-0015 PSNR=26.748, SSIM=0.7104 pre_time:0.0184s, forward_time:0.264s, post_time:0.672s, total_time:0.955s
> HKVTG_004-0016 PSNR=26.867, SSIM=0.7145 pre_time:0.0179s, forward_time:0.389s, post_time:0.663s, total_time:1.07s
> HKVTG_004-0017 PSNR=26.865, SSIM=0.7145 pre_time:0.02s, forward_time:0.25s, post_time:0.674s, total_time:0.944s
> HKVTG_004-0018 PSNR=26.728, SSIM=0.7098 pre_time:0.0191s, forward_time:0.361s, post_time:0.672s, total_time:1.05s
> HKVTG_004-0019 PSNR=26.838, SSIM=0.7135 pre_time:0.0179s, forward_time:0.318s, post_time:0.667s, total_time:1.0s
> HKVTG_004-0020 PSNR=26.852, SSIM=0.7139 pre_time:0.0195s, forward_time:0.27s, post_time:0.667s, total_time:0.956s
> HKVTG_004-0021 PSNR=26.725, SSIM=0.7095 pre_time:0.018s, forward_time:0.39s, post_time:0.689s, total_time:1.1s
> HKVTG_004-0022 PSNR=26.888, SSIM=0.7153 pre_time:0.0194s, forward_time:0.237s, post_time:0.687s, total_time:0.943s
> HKVTG_004-0023 PSNR=26.9, SSIM=0.716 pre_time:0.0186s, forward_time:0.384s, post_time:0.66s, total_time:1.06s
> HKVTG_004-0024 PSNR=26.795, SSIM=0.7119 pre_time:0.018s, forward_time:0.319s, post_time:0.673s, total_time:1.01s
> HKVTG_004-0025 PSNR=26.861, SSIM=0.714 pre_time:0.0184s, forward_time:0.26s, post_time:0.674s, total_time:0.953s
> HKVTG_004-0026 PSNR=26.843, SSIM=0.714 pre_time:0.0179s, forward_time:0.389s, post_time:0.67s, total_time:1.08s
> HKVTG_004-0027 PSNR=26.748, SSIM=0.7108 pre_time:0.0229s, forward_time:0.235s, post_time:0.762s, total_time:1.02s
> HKVTG_004-0028 PSNR=26.886, SSIM=0.7157 pre_time:0.0222s, forward_time:0.354s, post_time:0.756s, total_time:1.13s
> HKVTG_004-0029 PSNR=26.876, SSIM=0.7155 pre_time:0.0225s, forward_time:0.321s, post_time:0.747s, total_time:1.09s
> LDVTG_009-0003 PSNR=24.631, SSIM=0.8066 pre_time:0.0223s, forward_time:0.246s, post_time:0.748s, total_time:1.02s
> LDVTG_009-0004 PSNR=24.33, SSIM=0.7988 pre_time:0.0224s, forward_time:0.301s, post_time:0.764s, total_time:1.09s
> LDVTG_009-0005 PSNR=24.435, SSIM=0.8015 pre_time:0.0234s, forward_time:0.363s, post_time:0.745s, total_time:1.13s
> LDVTG_009-0006 PSNR=24.51, SSIM=0.8027 pre_time:0.0223s, forward_time:0.249s, post_time:0.754s, total_time:1.03s
> LDVTG_009-0007 PSNR=24.387, SSIM=0.7992 pre_time:0.0225s, forward_time:0.311s, post_time:0.756s, total_time:1.09s
> LDVTG_009-0008 PSNR=24.345, SSIM=0.7996 pre_time:0.0234s, forward_time:0.372s, post_time:0.747s, total_time:1.14s
