Inference - NonGaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e1r3.pt
result_path: ../infer_results/infer_NonGaussian_REDS4
quick_test: NonGaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e1r3.pt
> 000-00000002 PSNR=27.054, SSIM=0.8142 pre_time:0.0328s, forward_time:0.644s, post_time:2.11s, total_time:2.79s
> 000-00000003 PSNR=27.222, SSIM=0.8155 pre_time:0.0426s, forward_time:0.478s, post_time:2.11s, total_time:2.63s
> 000-00000004 PSNR=27.377, SSIM=0.8173 pre_time:0.0339s, forward_time:0.522s, post_time:2.24s, total_time:2.8s
> 000-00000005 PSNR=27.418, SSIM=0.8177 pre_time:0.0391s, forward_time:0.521s, post_time:2.16s, total_time:2.72s
> 000-00000006 PSNR=27.498, SSIM=0.823 pre_time:0.0304s, forward_time:0.46s, post_time:2.07s, total_time:2.56s
> 000-00000007 PSNR=27.487, SSIM=0.8212 pre_time:0.0271s, forward_time:0.457s, post_time:2.07s, total_time:2.55s
> 000-00000008 PSNR=27.547, SSIM=0.8223 pre_time:0.0276s, forward_time:0.465s, post_time:2.07s, total_time:2.57s
> 000-00000009 PSNR=27.657, SSIM=0.8233 pre_time:0.0274s, forward_time:0.522s, post_time:2.17s, total_time:2.72s
> 000-00000010 PSNR=27.832, SSIM=0.8259 pre_time:0.0272s, forward_time:0.511s, post_time:2.16s, total_time:2.7s
> 000-00000011 PSNR=27.8, SSIM=0.8266 pre_time:0.0276s, forward_time:0.522s, post_time:2.15s, total_time:2.7s
> 000-00000012 PSNR=27.809, SSIM=0.8292 pre_time:0.0273s, forward_time:0.468s, post_time:2.03s, total_time:2.53s
> 000-00000013 PSNR=27.78, SSIM=0.8285 pre_time:0.0278s, forward_time:0.523s, post_time:2.13s, total_time:2.68s
> 000-00000014 PSNR=27.636, SSIM=0.8259 pre_time:0.0368s, forward_time:0.474s, post_time:1.99s, total_time:2.5s
> 000-00000015 PSNR=27.446, SSIM=0.8211 pre_time:0.0278s, forward_time:0.469s, post_time:2.03s, total_time:2.53s
> 000-00000016 PSNR=27.391, SSIM=0.8186 pre_time:0.0285s, forward_time:0.474s, post_time:1.98s, total_time:2.48s
> 000-00000017 PSNR=27.424, SSIM=0.8176 pre_time:0.0271s, forward_time:0.475s, post_time:1.97s, total_time:2.47s
> 000-00000018 PSNR=27.518, SSIM=0.8192 pre_time:0.027s, forward_time:0.47s, post_time:2.12s, total_time:2.62s
> 000-00000019 PSNR=27.496, SSIM=0.8178 pre_time:0.0274s, forward_time:0.516s, post_time:2.01s, total_time:2.55s
> 000-00000020 PSNR=27.436, SSIM=0.8142 pre_time:0.0273s, forward_time:0.463s, post_time:1.93s, total_time:2.42s
> 000-00000021 PSNR=27.424, SSIM=0.8131 pre_time:0.0273s, forward_time:0.513s, post_time:2.04s, total_time:2.58s
> 000-00000022 PSNR=27.483, SSIM=0.8128 pre_time:0.048s, forward_time:0.524s, post_time:2.0s, total_time:2.57s
> 000-00000023 PSNR=27.348, SSIM=0.8081 pre_time:0.0283s, forward_time:0.464s, post_time:1.88s, total_time:2.37s
> 000-00000024 PSNR=27.091, SSIM=0.7988 pre_time:0.0276s, forward_time:0.466s, post_time:1.86s, total_time:2.36s
> 000-00000025 PSNR=26.831, SSIM=0.7876 pre_time:0.0274s, forward_time:0.488s, post_time:1.85s, total_time:2.36s
> 000-00000026 PSNR=26.804, SSIM=0.7852 pre_time:0.0274s, forward_time:0.522s, post_time:1.96s, total_time:2.51s
> 000-00000027 PSNR=26.865, SSIM=0.7864 pre_time:0.0276s, forward_time:0.511s, post_time:1.94s, total_time:2.47s
> 000-00000028 PSNR=26.93, SSIM=0.7883 pre_time:0.0276s, forward_time:0.512s, post_time:1.88s, total_time:2.42s
> 000-00000029 PSNR=27.002, SSIM=0.7883 pre_time:0.0282s, forward_time:0.467s, post_time:1.76s, total_time:2.26s
> 000-00000030 PSNR=26.939, SSIM=0.7849 pre_time:0.0276s, forward_time:0.462s, post_time:1.73s, total_time:2.22s
> 000-00000031 PSNR=27.019, SSIM=0.7876 pre_time:0.0276s, forward_time:0.468s, post_time:1.74s, total_time:2.24s
> 000-00000032 PSNR=27.002, SSIM=0.7853 pre_time:0.0278s, forward_time:0.524s, post_time:1.91s, total_time:2.46s
> 000-00000033 PSNR=27.015, SSIM=0.7845 pre_time:0.0275s, forward_time:0.52s, post_time:1.86s, total_time:2.41s
> 000-00000034 PSNR=27.029, SSIM=0.7834 pre_time:0.0342s, forward_time:0.513s, post_time:1.86s, total_time:2.4s
> 000-00000035 PSNR=26.965, SSIM=0.7791 pre_time:0.0367s, forward_time:0.521s, post_time:1.9s, total_time:2.45s
> 000-00000036 PSNR=26.919, SSIM=0.7771 pre_time:0.0283s, forward_time:0.514s, post_time:1.83s, total_time:2.37s
> 000-00000037 PSNR=26.798, SSIM=0.7735 pre_time:0.0277s, forward_time:0.484s, post_time:1.69s, total_time:2.2s
> 000-00000038 PSNR=26.762, SSIM=0.7728 pre_time:0.0381s, forward_time:0.471s, post_time:1.82s, total_time:2.33s
> 000-00000039 PSNR=26.816, SSIM=0.7723 pre_time:0.0278s, forward_time:0.521s, post_time:1.81s, total_time:2.36s
> 000-00000040 PSNR=26.837, SSIM=0.7732 pre_time:0.0398s, forward_time:0.52s, post_time:1.8s, total_time:2.36s
> 000-00000041 PSNR=26.921, SSIM=0.7764 pre_time:0.0363s, forward_time:0.52s, post_time:1.87s, total_time:2.42s
> 000-00000042 PSNR=26.967, SSIM=0.7784 pre_time:0.0479s, forward_time:0.507s, post_time:1.78s, total_time:2.33s
> 000-00000043 PSNR=26.929, SSIM=0.7778 pre_time:0.0282s, forward_time:0.527s, post_time:1.77s, total_time:2.33s
> 000-00000044 PSNR=26.912, SSIM=0.7763 pre_time:0.0275s, forward_time:0.516s, post_time:1.79s, total_time:2.33s
> 000-00000045 PSNR=26.868, SSIM=0.7732 pre_time:0.0272s, forward_time:0.463s, post_time:1.65s, total_time:2.14s
> 000-00000046 PSNR=26.78, SSIM=0.7707 pre_time:0.0275s, forward_time:0.519s, post_time:1.77s, total_time:2.32s
> 000-00000047 PSNR=26.841, SSIM=0.7696 pre_time:0.0275s, forward_time:0.509s, post_time:1.79s, total_time:2.33s
> 000-00000048 PSNR=26.978, SSIM=0.7755 pre_time:0.0381s, forward_time:0.527s, post_time:1.74s, total_time:2.3s
> 000-00000049 PSNR=26.811, SSIM=0.7708 pre_time:0.0277s, forward_time:0.518s, post_time:1.77s, total_time:2.31s
> 000-00000050 PSNR=26.667, SSIM=0.7651 pre_time:0.0275s, forward_time:0.52s, post_time:1.72s, total_time:2.27s
> 000-00000051 PSNR=26.67, SSIM=0.7646 pre_time:0.027s, forward_time:0.462s, post_time:1.62s, total_time:2.11s
> 000-00000052 PSNR=26.678, SSIM=0.7651 pre_time:0.0277s, forward_time:0.525s, post_time:1.71s, total_time:2.26s
> 000-00000053 PSNR=26.733, SSIM=0.7662 pre_time:0.0278s, forward_time:0.515s, post_time:1.78s, total_time:2.32s
> 000-00000054 PSNR=26.854, SSIM=0.7723 pre_time:0.0385s, forward_time:0.511s, post_time:1.74s, total_time:2.29s
> 000-00000055 PSNR=26.839, SSIM=0.7722 pre_time:0.0282s, forward_time:0.523s, post_time:1.74s, total_time:2.29s
> 000-00000056 PSNR=26.826, SSIM=0.7716 pre_time:0.0275s, forward_time:0.474s, post_time:1.62s, total_time:2.12s
> 000-00000057 PSNR=26.767, SSIM=0.7696 pre_time:0.0543s, forward_time:0.463s, post_time:1.66s, total_time:2.18s
> 000-00000058 PSNR=26.719, SSIM=0.7662 pre_time:0.0281s, forward_time:0.525s, post_time:1.77s, total_time:2.32s
> 000-00000059 PSNR=27.046, SSIM=0.7786 pre_time:0.0275s, forward_time:0.515s, post_time:1.8s, total_time:2.34s
> 000-00000060 PSNR=27.164, SSIM=0.7849 pre_time:0.0273s, forward_time:0.521s, post_time:1.8s, total_time:2.35s
> 000-00000061 PSNR=27.092, SSIM=0.7819 pre_time:0.0339s, forward_time:0.465s, post_time:1.66s, total_time:2.16s
> 000-00000062 PSNR=27.03, SSIM=0.781 pre_time:0.0281s, forward_time:0.517s, post_time:1.8s, total_time:2.34s
> 000-00000063 PSNR=26.92, SSIM=0.7785 pre_time:0.0276s, forward_time:0.519s, post_time:1.82s, total_time:2.37s
> 000-00000064 PSNR=26.871, SSIM=0.7775 pre_time:0.0275s, forward_time:0.515s, post_time:1.77s, total_time:2.32s
> 000-00000065 PSNR=26.852, SSIM=0.7774 pre_time:0.0394s, forward_time:0.468s, post_time:1.83s, total_time:2.34s
> 000-00000066 PSNR=26.89, SSIM=0.7789 pre_time:0.0274s, forward_time:0.523s, post_time:1.82s, total_time:2.37s
> 000-00000067 PSNR=26.869, SSIM=0.7815 pre_time:0.0276s, forward_time:0.528s, post_time:1.81s, total_time:2.36s
> 000-00000068 PSNR=26.876, SSIM=0.7834 pre_time:0.0276s, forward_time:0.523s, post_time:1.81s, total_time:2.36s
> 000-00000069 PSNR=26.924, SSIM=0.7859 pre_time:0.0277s, forward_time:0.516s, post_time:1.81s, total_time:2.35s
> 000-00000070 PSNR=26.875, SSIM=0.7858 pre_time:0.0336s, forward_time:0.512s, post_time:1.83s, total_time:2.37s
> 000-00000071 PSNR=26.942, SSIM=0.7892 pre_time:0.0283s, forward_time:0.514s, post_time:1.81s, total_time:2.35s
> 000-00000072 PSNR=26.936, SSIM=0.791 pre_time:0.0269s, forward_time:0.465s, post_time:1.71s, total_time:2.2s
> 000-00000073 PSNR=26.945, SSIM=0.7936 pre_time:0.0273s, forward_time:0.464s, post_time:1.68s, total_time:2.17s
> 000-00000074 PSNR=27.019, SSIM=0.7955 pre_time:0.0272s, forward_time:0.458s, post_time:1.68s, total_time:2.16s
> 000-00000075 PSNR=26.907, SSIM=0.7921 pre_time:0.0275s, forward_time:0.459s, post_time:1.67s, total_time:2.16s
> 000-00000076 PSNR=26.828, SSIM=0.7885 pre_time:0.0273s, forward_time:0.467s, post_time:1.71s, total_time:2.21s
> 000-00000077 PSNR=26.735, SSIM=0.7858 pre_time:0.0277s, forward_time:0.524s, post_time:1.89s, total_time:2.44s
> 000-00000078 PSNR=26.748, SSIM=0.7874 pre_time:0.0273s, forward_time:0.515s, post_time:1.83s, total_time:2.38s
> 000-00000079 PSNR=26.659, SSIM=0.7838 pre_time:0.0276s, forward_time:0.519s, post_time:1.82s, total_time:2.36s
> 000-00000080 PSNR=26.718, SSIM=0.7858 pre_time:0.0273s, forward_time:0.463s, post_time:1.7s, total_time:2.19s
> 000-00000081 PSNR=26.717, SSIM=0.7879 pre_time:0.0278s, forward_time:0.521s, post_time:1.84s, total_time:2.39s
> 000-00000082 PSNR=26.675, SSIM=0.7885 pre_time:0.0278s, forward_time:0.51s, post_time:1.86s, total_time:2.4s
> 000-00000083 PSNR=26.696, SSIM=0.7881 pre_time:0.0321s, forward_time:0.556s, post_time:1.86s, total_time:2.45s
> 000-00000084 PSNR=26.753, SSIM=0.7927 pre_time:0.0274s, forward_time:0.597s, post_time:1.8s, total_time:2.43s
> 000-00000085 PSNR=26.69, SSIM=0.7915 pre_time:0.0274s, forward_time:0.537s, post_time:1.82s, total_time:2.38s
> 000-00000086 PSNR=26.668, SSIM=0.7906 pre_time:0.0273s, forward_time:0.456s, post_time:1.77s, total_time:2.26s
> 000-00000087 PSNR=26.647, SSIM=0.7882 pre_time:0.0273s, forward_time:0.461s, post_time:1.74s, total_time:2.22s
> 000-00000088 PSNR=26.555, SSIM=0.7864 pre_time:0.0401s, forward_time:0.47s, post_time:1.74s, total_time:2.25s
> 000-00000089 PSNR=26.596, SSIM=0.7893 pre_time:0.0275s, forward_time:0.481s, post_time:1.73s, total_time:2.24s
> 000-00000090 PSNR=26.621, SSIM=0.7927 pre_time:0.0286s, forward_time:0.518s, post_time:1.89s, total_time:2.43s
> 000-00000091 PSNR=26.612, SSIM=0.7943 pre_time:0.0274s, forward_time:0.457s, post_time:1.72s, total_time:2.2s
> 000-00000092 PSNR=26.657, SSIM=0.7948 pre_time:0.0349s, forward_time:0.465s, post_time:1.76s, total_time:2.26s
