Inference - NonGaussian_REDS4_L
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e3r20.pt
result_path: ../infer_results/infer_NonGaussian_REDS4_L
quick_test: NonGaussian_REDS4_L
large_model: True
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e3r20.pt
> 000-00000002 PSNR=27.727, SSIM=0.8357 pre_time:0.0356s, forward_time:0.752s, post_time:1.23s, total_time:2.02s
> 000-00000003 PSNR=27.797, SSIM=0.834 pre_time:0.0371s, forward_time:0.707s, post_time:1.21s, total_time:1.96s
> 000-00000004 PSNR=28.005, SSIM=0.8371 pre_time:0.0451s, forward_time:0.71s, post_time:1.21s, total_time:1.96s
> 000-00000005 PSNR=28.033, SSIM=0.8373 pre_time:0.0328s, forward_time:0.717s, post_time:1.23s, total_time:1.98s
> 000-00000006 PSNR=28.097, SSIM=0.842 pre_time:0.033s, forward_time:0.696s, post_time:1.19s, total_time:1.92s
> 000-00000007 PSNR=28.138, SSIM=0.8415 pre_time:0.0316s, forward_time:0.742s, post_time:1.18s, total_time:1.96s
> 000-00000008 PSNR=28.134, SSIM=0.8414 pre_time:0.0339s, forward_time:0.75s, post_time:1.2s, total_time:1.98s
> 000-00000009 PSNR=28.296, SSIM=0.8434 pre_time:0.0315s, forward_time:0.762s, post_time:1.2s, total_time:1.99s
> 000-00000010 PSNR=28.485, SSIM=0.8471 pre_time:0.0388s, forward_time:0.746s, post_time:1.19s, total_time:1.98s
> 000-00000011 PSNR=28.476, SSIM=0.8475 pre_time:0.0379s, forward_time:0.778s, post_time:1.19s, total_time:2.01s
> 000-00000012 PSNR=28.537, SSIM=0.8505 pre_time:0.0332s, forward_time:0.754s, post_time:1.2s, total_time:1.99s
> 000-00000013 PSNR=28.452, SSIM=0.8495 pre_time:0.0315s, forward_time:0.566s, post_time:1.23s, total_time:1.83s
> 000-00000014 PSNR=28.329, SSIM=0.8482 pre_time:0.0314s, forward_time:0.57s, post_time:1.18s, total_time:1.78s
> 000-00000015 PSNR=28.176, SSIM=0.8445 pre_time:0.0363s, forward_time:0.634s, post_time:1.2s, total_time:1.87s
> 000-00000016 PSNR=28.083, SSIM=0.8408 pre_time:0.0329s, forward_time:0.644s, post_time:1.2s, total_time:1.87s
> 000-00000017 PSNR=28.127, SSIM=0.8414 pre_time:0.0335s, forward_time:0.639s, post_time:1.18s, total_time:1.85s
> 000-00000018 PSNR=28.221, SSIM=0.8424 pre_time:0.0323s, forward_time:0.663s, post_time:1.19s, total_time:1.89s
> 000-00000019 PSNR=28.134, SSIM=0.8393 pre_time:0.0317s, forward_time:0.699s, post_time:1.21s, total_time:1.94s
> 000-00000020 PSNR=28.142, SSIM=0.8385 pre_time:0.0321s, forward_time:0.72s, post_time:1.22s, total_time:1.97s
> 000-00000021 PSNR=28.112, SSIM=0.8373 pre_time:0.0332s, forward_time:0.729s, post_time:1.19s, total_time:1.95s
> 000-00000022 PSNR=28.171, SSIM=0.8372 pre_time:0.0392s, forward_time:0.762s, post_time:1.19s, total_time:1.99s
> 000-00000023 PSNR=28.05, SSIM=0.8334 pre_time:0.0383s, forward_time:0.745s, post_time:1.26s, total_time:2.05s
> 000-00000024 PSNR=27.79, SSIM=0.825 pre_time:0.0337s, forward_time:0.676s, post_time:1.73s, total_time:2.44s
> 000-00000025 PSNR=27.457, SSIM=0.8119 pre_time:0.0764s, forward_time:0.874s, post_time:1.19s, total_time:2.14s
> 000-00000026 PSNR=27.426, SSIM=0.8104 pre_time:0.0318s, forward_time:0.72s, post_time:1.21s, total_time:1.96s
> 000-00000027 PSNR=27.431, SSIM=0.8117 pre_time:0.0311s, forward_time:0.601s, post_time:1.24s, total_time:1.87s
> 000-00000028 PSNR=27.566, SSIM=0.8136 pre_time:0.0326s, forward_time:0.588s, post_time:1.18s, total_time:1.8s
> 000-00000029 PSNR=27.642, SSIM=0.815 pre_time:0.0401s, forward_time:0.648s, post_time:1.19s, total_time:1.87s
